pid,Player,Season,AVG,FPTS_TG,FPTS/G_MISC_avg,ATT_RUSHING/G_avg,YDS_RUSHING/G_avg,TD_RUSHING/G_avg,REC_RECEIVING/G_avg,TGT_RECEIVING/G_avg,YDS_RECEIVING/G_avg,TD_RECEIVING/G_avg,FL_MISC/G_avg,YDS/ATT_RUSHING_avg,TD/ATT_RUSHING_avg,YDS/REC_RECEIVING_avg,YDS/TGT_RECEIVING_avg,REC/TGT_RECEIVING_avg,TD/TGT_RECEIVING_avg,FPTS/G_MISC_ewm,ATT_RUSHING/G_ewm,YDS_RUSHING/G_ewm,TD_RUSHING/G_ewm,REC_RECEIVING/G_ewm,TGT_RECEIVING/G_ewm,YDS_RECEIVING/G_ewm,TD_RECEIVING/G_ewm,FL_MISC/G_ewm,YDS/ATT_RUSHING_ewm,TD/ATT_RUSHING_ewm,YDS/REC_RECEIVING_ewm,YDS/TGT_RECEIVING_ewm,REC/TGT_RECEIVING_ewm,TD/TGT_RECEIVING_ewm,Rookie,Career_Years,STD
19236,Justin Jefferson MIN (13),2023,1.0,,16.2,0.2169117647058823,0.7867647058823529,0.0196078431372549,6.46078431372549,9.486519607843135,96.32352941176472,0.4987745098039216,0.0196078431372549,3.4444444444444446,0.0833333333333333,15.001622124017956,10.236056148572422,0.6821195869131302,0.0531195001301744,16.59450319555928,0.2338406194429373,0.9318026454262068,0.0266518729012925,6.692752555962068,9.821030798680212,98.4902521654532,0.500783836160281,0.0188457200598259,3.919119770960238,0.1132704598304932,14.801173559322502,10.09191962725515,0.6818622459611576,0.0515697678354825,0,3,0.0
19788,Ja'Marr Chase CIN (7),2023,3.0,,15.4,0.3981900452488688,0.9253393665158371,0.0,5.728506787330317,8.918552036199095,83.02488687782807,0.7285067873303167,0.1063348416289592,2.3,0.0,14.992975734355044,9.586578824626866,0.6410331156716418,0.0843633395522388,15.38284271247462,0.3958610016933873,0.8721595386656743,0.0,5.893868879769509,9.156890826710043,82.58508581976797,0.7222960045156993,0.1144864940731448,2.1798989873223333,0.0,14.483406486075689,9.28107467449122,0.642443550338782,0.0814124301422648,0,2,0.0
15802,Tyreek Hill MIA (10),2023,6.0,,16.599999999999998,0.6026143790849673,5.243137254901961,0.0640522875816993,6.44313725490196,9.450980392156865,86.17908496732025,0.6470588235294118,0.0196078431372549,8.233211233211234,0.0989010989010989,13.399525575996163,9.101042737150763,0.6808525506638713,0.0696304517614173,16.37479282874547,0.5525100545536692,4.519684599804738,0.0568573288560907,6.57738513592821,9.56615615968093,88.19563071449579,0.5827155105084674,0.0188457200598259,7.632014127471696,0.0995784262246094,13.409374681070435,9.195226015630215,0.686809907991758,0.0619620851388552,0,7,1.0
16433,Cooper Kupp LAR (10),2023,7.0,,16.866666666666667,0.5006535947712418,3.0122004357298477,0.037037037037037,7.665359477124183,10.130283224400872,89.89498910675381,0.6026143790849673,0.0592592592592592,6.175925925925927,0.037037037037037,11.613736465100784,8.77809009095954,0.7554679699949562,0.0563958905636228,17.61287981396664,0.588875631470873,3.455419167080213,0.0503424265913303,7.89776237694525,10.40582860657461,92.28072439862802,0.648894264437394,0.0654451545687294,5.928466354528998,0.0503424265913303,11.605637936388876,8.799384070815812,0.758043376781107,0.0600584172140142,0,6,1.0
13981,Stefon Diggs BUF (13),2023,11.0,,15.366666666666667,0.0404411764705882,-0.0379901960784313,0.0,6.822303921568628,9.732843137254902,84.5281862745098,0.5784313725490197,0.0,-1.0,0.0,12.402363594665408,8.68114107461742,0.699412408859955,0.0598937337844184,15.295170069762513,0.0408106803801041,-0.0657968112250659,0.0,6.670983735113327,9.59875230389582,83.59825162464325,0.5948982623429703,0.0,-1.6666666666666667,0.0,12.541461593924089,8.713742326419643,0.6940107702380962,0.0624009107191763,0,8,1.0
19202,CeeDee Lamb DAL (7),2023,13.3,,12.666666666666666,0.5919117647058824,4.213235294117648,0.0208333333333333,5.285539215686274,7.871323529411764,69.0845588235294,0.4056372549019607,0.0208333333333333,7.114814814814815,0.0333333333333333,13.09514560106066,8.772765072765074,0.6702991452991452,0.0509124509124509,13.051471862576143,0.5883190018731271,3.935452134454248,0.0141588074788116,5.481364781392,8.132149110377531,71.52436274059411,0.4308023588870812,0.0141588074788116,6.692527999066151,0.0226540919660986,13.08599767569675,8.797420955187352,0.6727099686195114,0.052362744865487,0,3,2.516611478423584
18218,A.J. Brown PHI (10),2023,14.0,,13.9,0.0512820512820512,0.2564102564102564,0.0,5.007541478129713,8.059254471019177,77.21062271062272,0.605796164619694,0.0630252100840336,5.0,0.0,15.383597883597885,9.578313763154362,0.6224246367382347,0.0757515671634084,13.923987840372554,0.0492888063103139,0.2464440315515698,0.0,5.030666812393563,8.167422293697795,78.68229453327649,0.5943890545664919,0.069485240064084,5.0,0.0,15.600584319518187,9.623524645680495,0.6168026446593055,0.0731367481987622,0,4,3.0
12123,Davante Adams LV (13),2023,18.0,,18.666666666666668,0.0588235294117647,-0.0196078431372549,0.0,7.261379551820728,10.597864145658264,94.7939425770308,0.932247899159664,0.0238095238095238,-0.3333333333333333,0.0,13.244614115706376,8.94434928157179,0.6850594289933474,0.087890634767248,18.15308183932197,0.0799556187038775,-0.0266518729012925,0.0,6.9889591705201415,10.592364375438502,93.73422838987564,0.8846524705242934,0.016181494261499,-0.3333333333333333,0.0,13.620480448276952,8.84905602022707,0.6597331198011207,0.0834600145519658,0,8,1.0
19799,Amon-Ra St. Brown DET (9),2023,18.7,,12.4,0.5,4.875,0.03125,6.125,8.28125,64.78125,0.34375,0.0,9.634920634920634,0.0714285714285714,10.543081761006288,7.807960170369517,0.7411649591343387,0.0415563485668239,12.57157287525381,0.5107233047033631,5.057296179957174,0.0258883476483184,6.210786437626905,8.426014613495402,66.11630143556872,0.3491116523516815,0.0,9.79287661531303,0.0591733660532993,10.613383476872864,7.832682899343728,0.7385677641192729,0.0414773464370881,0,2,1.1547005383792517
23072,Garrett Wilson NYJ (7),2023,19.3,,10.2,0.2352941176470588,0.2352941176470588,0.0,4.882352941176471,8.647058823529411,64.88235294117646,0.2352941176470588,0.0588235294117647,1.0,0.0,13.289156626506024,7.503401360544218,0.564625850340136,0.0272108843537414,10.2,0.2352941176470588,0.2352941176470588,0.0,4.882352941176471,8.647058823529411,64.88235294117646,0.2352941176470588,0.0588235294117647,1.0,0.0,13.289156626506024,7.503401360544218,0.564625850340136,0.0272108843537414,0,1,2.081665999466133
19790,Jaylen Waddle MIA (10),2023,24.0,,12.55,0.150735294117647,0.8584558823529411,0.03125,5.455882352941177,7.8161764705882355,71.60110294117646,0.4227941176470588,0.0606617647058823,5.083333333333333,0.25,13.919807692307693,9.419871794871796,0.6919413919413919,0.0556166056166056,12.627207793864216,0.1551507725249142,0.9735737122566922,0.0258883476483184,5.276740086132052,7.655957682667399,73.00175577022458,0.4309942918319835,0.0603463733910775,5.698136136326152,0.2071067811865475,14.633583848147245,9.792162937650094,0.6832056301610698,0.0578057833289405,0,2,2.0
19222,DeVonta Smith PHI (10),2023,27.3,,10.6,0.0,0.0,0.0,4.6764705882352935,7.0588235294117645,62.117647058823536,0.3529411764705882,0.0588235294117647,,,13.450986842105262,8.800904977375566,0.6569570135746606,0.0497737556561086,10.874516600406096,0.0,0.0,0.0,4.832904680378474,7.220303882591821,63.53060014914903,0.3630336985443417,0.0588235294117647,,,13.303174552536277,8.799740455597826,0.664089709463323,0.0500648861005438,0,2,4.725815626252609
20111,Chris Olave NO (11),2023,27.3,,10.8,0.0,0.0,0.0,4.8,7.933333333333334,69.46666666666667,0.2666666666666666,0.1333333333333333,,,14.47222222222222,8.756302521008404,0.6050420168067226,0.0336134453781512,10.8,0.0,0.0,0.0,4.8,7.933333333333334,69.46666666666667,0.2666666666666666,0.1333333333333333,,,14.47222222222222,8.756302521008404,0.6050420168067226,0.0336134453781512,0,1,2.516611478423584
19211,Tee Higgins CIN (7),2023,32.0,,11.833333333333334,0.1041666666666666,0.5833333333333334,0.0,4.824404761904762,7.313492063492063,68.04841269841269,0.4234126984126984,0.0446428571428571,5.6,0.0,14.062938460848908,9.266105499438831,0.6583052749719416,0.0579124579124579,12.071182229389956,0.0707940373940582,0.3964466094067262,0.0,4.907471857351746,7.369001113587636,69.2968230063458,0.4336955684209033,0.0370428961228859,5.6,0.0,14.088353257463128,9.37410222897582,0.6649852177287575,0.0588932095692512,0,3,4.0
18219,DK Metcalf SEA (5),2023,36.0,,12.433333333333332,0.0196078431372549,0.1176470588235294,0.0,4.964460784313726,7.981617647058823,66.65563725490196,0.5612745098039216,0.0600490196078431,6.0,0.0,13.41219098616689,8.343174446093792,0.6210346912969378,0.0710319423827588,12.018767264271212,0.0188457200598259,0.1130743203589555,0.0,4.987278586344639,8.015498131566494,64.60390024329782,0.5276479529137829,0.0674625532813966,6.0,0.0,12.96303636542822,8.057413441389961,0.6212258981294098,0.0666439239187437,0,4,3.605551275463989
